,,,,age,sex,race,eth
1018.0,17.0,368901.0,0,18,0,0,1
1018.0,17.0,368901.0,1,18,0,2,0
1018.0,17.0,368901.0,2,18,0,6,0
1018.0,17.0,368901.0,3,18,0,6,1
1018.0,17.0,368901.0,4,18,0,8,0
1018.0,17.0,368901.0,5,18,1,0,0
1018.0,17.0,368901.0,6,18,1,1,0
1018.0,17.0,368901.0,7,18,1,1,1
1018.0,17.0,368901.0,8,18,1,3,0
1018.0,17.0,368901.0,9,18,1,5,1
1018.0,17.0,368901.0,10,18,1,10,1
1018.0,17.0,368901.0,11,18,1,14,0
3013.0,9.0,254302.0,0,0,0,0,0
3013.0,9.0,254302.0,1,0,1,0,0
3013.0,9.0,254302.0,2,1,0,0,0
3013.0,9.0,254302.0,3,2,0,0,0
3013.0,9.0,254302.0,4,2,1,3,0
3013.0,9.0,254302.0,5,3,0,0,1
3013.0,9.0,254302.0,6,3,1,0,0
3013.0,9.0,254302.0,7,4,0,0,0
3013.0,9.0,254302.0,8,5,0,0,0
3013.0,9.0,254302.0,9,5,1,3,0
3013.0,9.0,254302.0,10,6,0,0,0
3013.0,9.0,254302.0,11,6,1,5,1
3013.0,9.0,254302.0,12,7,0,0,0
3013.0,9.0,254302.0,13,7,1,0,0
3013.0,9.0,254302.0,14,8,0,3,0
3013.0,9.0,254302.0,15,8,1,3,0
3013.0,9.0,254302.0,16,9,0,0,0
3013.0,9.0,254302.0,17,9,0,9,0
3013.0,9.0,254302.0,18,9,1,0,0
3013.0,9.0,254302.0,19,10,0,3,0
3013.0,9.0,254302.0,20,10,1,0,0
3013.0,9.0,254302.0,21,11,1,0,0
3013.0,9.0,254302.0,22,12,1,0,0
3013.0,9.0,254302.0,23,13,0,0,0
3013.0,9.0,254302.0,24,13,1,3,0
3013.0,9.0,254302.0,25,14,0,3,0
3013.0,9.0,254302.0,26,14,1,0,0
3013.0,9.0,254302.0,27,14,1,0,1
3013.0,9.0,254302.0,28,15,0,3,0
